year,name,description,longitude,latitude
2019,Cafe Sua Da,Cafes and Restaurants,144.96553,-37.79671
2019,Brother Bull,Cafes and Restaurants,144.9649,-37.79668
2019,Clyde Hotel,"Pubs, Taverns and Bars",144.96575,-37.797259999999994
2019,The Longing Flavour,Cafes and Restaurants,144.96517,-37.79783
2019,Masters Of Burgerology,Cafes and Restaurants,144.96517,-37.79783
2019,Wild Timor Coffee Carlton Pty Ltd,Cafes and Restaurants,144.96526,-37.79872
2019,Toothpicks Cafe,Cafes and Restaurants,144.96489,-37.79947
2019,Claypot Kingdom,Cafes and Restaurants,144.96476,-37.799
2019,E Dumpling,Cafes and Restaurants,144.96476,-37.799
2019,Thresherman's Bakehouse,Cafes and Restaurants,144.96673,-37.79886
2019,New York Minute,Cafes and Restaurants,144.9663,-37.798809999999996
2019,Dumpling ADA,Cafes and Restaurants,144.96656000000002,-37.80046
2019,Il Cantuccio Restaurant,Cafes and Restaurants,144.9666,-37.80042
2019,Papa Gino's Pizza Restaurant,Cafes and Restaurants,144.96672,-37.80019
2019,Cafe Corretto,Cafes and Restaurants,144.96674,-37.80005
2019,Original Lolly Store,Other Specialised Food Retailing,144.96678,-37.79983
2019,New Zealand Natural Ice Cream,Takeaway Food Services,144.96679,-37.79978
2019,La Parisienne Pates,Cafes and Restaurants,144.96683000000002,-37.79954
2019,University Cafe,Cafes and Restaurants,144.96684,-37.799479999999996
2019,Lygon Food Store,Cafes and Restaurants,144.96687,-37.7993
2019,Tiamo Coffee,Cafes and Restaurants,144.96708999999998,-37.79822
2019,Tiamo 2,Cafes and Restaurants,144.96708,-37.79818
2019,Milk The Cow,Cafes and Restaurants,144.96713,-37.79777
2019,Heartattack and Vine,Cafes and Restaurants,144.96715,-37.79764
2019,Jimmy Watsons,Cafes and Restaurants,144.96716999999998,-37.797509999999996
2019,Intersection Cafe,Cafes and Restaurants,144.96723,-37.79735
2019,Le Miel Et Le Lune,Cafes and Restaurants,144.96638000000002,-37.796859999999995
2019,Adonai Foods,Cafes and Restaurants,144.96921,-37.79477
2019,Chong Quing,Cafes and Restaurants,144.96903999999998,-37.79314
2019,Rathdowne & Reeves Cafe,Cafes and Restaurants,144.97077,-37.793659999999996
2019,Curry in Carlton,Takeaway Food Services,144.96816,-37.79698
2019,Green Man's Arms,"Pubs, Taverns and Bars",144.96781000000001,-37.79695
2019,Campos Coffee,Cafes and Restaurants,144.96981,-37.79715
2019,Shompen,Cafes and Restaurants,144.97032,-37.79692
2019,The Beaufort,"Pubs, Taverns and Bars",144.97043,-37.79652
2019,The Moor's Head,Cafes and Restaurants,144.96927,-37.797709999999995
2019,Vincent The Dog,Cafes and Restaurants,144.96927,-37.797779999999996
2019,Cafe Lua,Cafes and Restaurants,144.96929,-37.797579999999996
2019,Masani's Italian Dinning & Terrace,Cafes and Restaurants,144.96849,-37.79838
2019,The Shaw Davey Slum,Cafes and Restaurants,144.96871000000002,-37.797509999999996
2019,The Heart of Carlton,Cafes and Restaurants,144.96821,-37.79746
2019,Crinitis Southern Italian Cuisine,Cafes and Restaurants,144.96784,-37.79851
2019,Yo-Chi,Cafes and Restaurants,144.96802,-37.79844
2019,Market Lane Coffee,Cafes and Restaurants,144.96849,-37.79857
2019,The Carlton Wine Room,Cafes and Restaurants,144.96858999999998,-37.79858
2019,Trotters Bistro,Cafes and Restaurants,144.96776,-37.79763
2019,Brunetti Carlton,Cafes and Restaurants,144.96815,-37.79804
2019,Cinema Nova,Motion Picture Exhibition,144.96815,-37.79804
2019,Seasalt Fish & Sushi Bar,Cafes and Restaurants,144.96764,-37.79828
2019,Sea Saltfish & Sushi Bar,Cafes and Restaurants,144.96763,-37.79833
2019,Gemma Simple Italian,Cafes and Restaurants,144.96838,-37.79753
2019,The Vertue of the Coffee Drink,Cafes and Restaurants,144.96838,-37.79769
2019,Doc Pizza & Mozarella Bar,Cafes and Restaurants,144.96844,-37.79899
2019,Shakahari Vegetarian Restaurant,Cafes and Restaurants,144.9678,-37.799
2019,Il Vicolo,Cafes and Restaurants,144.96788,-37.8006
2019,Grill'd Healthy Burgers,Cafes and Restaurants,144.96753,-37.79887
2019,Boost Juice,Takeaway Food Services,144.9675,-37.799
2019,Lavenzzi Gelateria,Takeaway Food Services,144.96749,-37.79916
2019,DOC Delicatessen,Other Specialised Food Retailing,144.96748,-37.79926
2019,DOC Espresso,Cafes and Restaurants,144.96747,-37.79932
2019,Donnini's,Cafes and Restaurants,144.9675,-37.79954
2019,Copperwood,Cafes and Restaurants,144.96759,-37.79963
2019,St. Charly,Cafes and Restaurants,144.96742,-37.79979
2019,Carlton Yacht Club Bar,"Pubs, Taverns and Bars",144.96738,-37.79999
2019,East Imperial,Cafes and Restaurants,144.96988000000002,-37.79918
2019,Soap Bar,Laundry and Dry-Cleaning Services,144.97242,-37.7979
2019,Abla's Restaurant,Cafes and Restaurants,144.97103,-37.79781
2019,Paris Go Bistro,Cafes and Restaurants,144.97088,-37.79696
2019,Carlton Wok,Takeaway Food Services,144.97107,-37.79586
2019,Bloom Coffee Bar,Cafes and Restaurants,144.97104,-37.79605
2019,Ziyka,Cafes and Restaurants,144.97104,-37.79605
2019,Osc&r On Rathdowne,Cafes and Restaurants,144.97118999999998,-37.79514
2019,Sushi Ten,Cafes and Restaurants,144.97118,-37.795190000000005
